,n,means,sds,coefvars,D,method
1,1000,0.099635264,0.004397766,22.65588127,1,Crude
2,2000,0.100232606,0.002871483,34.90621523,1,Crude
3,3000,0.099953542,0.00212676,46.99804261,1,Crude
4,4000,0.099951575,0.001999533,49.98746514,1,Crude
5,5000,0.099991865,0.001887441,52.97748679,1,Crude
6,6000,0.099939194,0.001638776,60.98405551,1,Crude
7,7000,0.099864479,0.001431882,69.74351587,1,Crude
8,8000,0.10001106,0.001452489,68.85496136,1,Crude
9,9000,0.099967395,0.001336098,74.82038997,1,Crude
10,10000,0.099991417,0.001368016,73.09230882,1,Crude
11,1000,0.009977747,0.000828539,12.04258408,2,Crude
12,2000,0.009948986,0.000640998,15.52109373,2,Crude
13,3000,0.010024813,0.000458036,21.88649446,2,Crude
14,4000,0.009988249,0.000380402,26.25708599,2,Crude
15,5000,0.010101302,0.000362914,27.83388749,2,Crude
16,6000,0.010000109,0.000314704,31.77628636,2,Crude
17,7000,0.009960331,0.000300298,33.16815893,2,Crude
18,8000,0.009983117,0.00031673,31.51936246,2,Crude
19,9000,0.010012414,0.000280354,35.71352335,2,Crude
20,10000,0.010020163,0.000243436,41.16145502,2,Crude
21,1000,0.100004311,0.000142771,700.4524621,1,Sobol
22,2000,0.099997775,4.95E-05,2020.66468,1,Sobol
23,3000,0.099997997,4.19E-05,2386.88441,1,Sobol
24,4000,0.099997687,1.64E-05,6107.120683,1,Sobol
25,5000,0.099996795,2.16E-05,4627.257751,1,Sobol
26,6000,0.100001657,1.55E-05,6465.671382,1,Sobol
27,7000,0.099999479,2.05E-05,4878.61065,1,Sobol
28,8000,0.100000673,5.82E-06,17170.87609,1,Sobol
29,9000,0.099998611,1.51E-05,6611.621983,1,Sobol
30,10000,0.099998344,8.64E-06,11570.16878,1,Sobol
31,1000,0.010023266,8.13E-05,123.3377958,2,Sobol
32,2000,0.009996934,4.57E-05,218.9181384,2,Sobol
33,3000,0.010002702,2.55E-05,392.7802826,2,Sobol
34,4000,0.009998124,1.95E-05,512.2297211,2,Sobol
35,5000,0.009996124,1.42E-05,702.7491166,2,Sobol
36,6000,0.010002708,1.64E-05,608.4193873,2,Sobol
37,7000,0.010004332,1.29E-05,776.4597642,2,Sobol
38,8000,0.009999427,9.02E-06,1108.112249,2,Sobol
39,9000,0.009999902,1.14E-05,879.7519103,2,Sobol
40,10000,0.010000608,8.37E-06,1194.431061,2,Sobol
41,1000,0.099807012,0.135036719,0.73911017,1,Antithetic
42,2000,0.099038729,0.134485622,0.736426153,1,Antithetic
43,3000,0.099876522,0.13489937,0.740377974,1,Antithetic
44,4000,0.100206797,0.135078138,0.74184319,1,Antithetic
45,5000,0.099998219,0.134983193,0.740819778,1,Antithetic
46,6000,0.100160958,0.135102499,0.741370136,1,Antithetic
47,7000,0.099693817,0.134830332,0.739402002,1,Antithetic
48,8000,0.100033388,0.135032824,0.740807936,1,Antithetic
49,9000,0.099809595,0.134829242,0.740266676,1,Antithetic
50,10000,0.099691844,0.134647159,0.740393225,1,Antithetic
51,1000,0.010135927,0.026573116,0.381435415,2,Antithetic
52,2000,0.009975495,0.026366456,0.3783404,2,Antithetic
53,3000,0.010006497,0.026361678,0.37958499,2,Antithetic
54,4000,0.0099856,0.026330874,0.379235409,2,Antithetic
55,5000,0.009984758,0.026373852,0.378585511,2,Antithetic
56,6000,0.010055984,0.026452578,0.380151374,2,Antithetic
57,7000,0.009955548,0.02627131,0.378951331,2,Antithetic
58,8000,0.010015293,0.0264038,0.379312558,2,Antithetic
59,9000,0.009989131,0.026370245,0.378803137,2,Antithetic
60,10000,0.009943457,0.026260634,0.378644964,2,Antithetic
61,1000,0.100009823,0.000103688,964.5251903,1,LatinHypercube
62,2000,0.09999421,3.91E-05,2560.340344,1,LatinHypercube
63,3000,0.100000976,2.12E-05,4723.296162,1,LatinHypercube
64,4000,0.099998535,1.34E-05,7442.786659,1,LatinHypercube
65,5000,0.099999905,8.89E-06,11250.55931,1,LatinHypercube
66,6000,0.099999658,6.62E-06,15095.4944,1,LatinHypercube
67,7000,0.100000067,5.85E-06,17103.42233,1,LatinHypercube
68,8000,0.100000564,5.00E-06,19984.75509,1,LatinHypercube
69,9000,0.10000039,4.25E-06,23521.60991,1,LatinHypercube
70,10000,0.10000017,3.60E-06,27800.11453,1,LatinHypercube
71,1000,0.010024462,0.000634826,15.79089331,2,LatinHypercube
72,2000,0.009996355,0.000475467,21.02429538,2,LatinHypercube
73,3000,0.009995389,0.000328816,30.39810538,2,LatinHypercube
74,4000,0.009988403,0.000304687,32.78253213,2,LatinHypercube
75,5000,0.009999932,0.000269193,37.14781723,2,LatinHypercube
76,6000,0.010008599,0.000228104,43.87732596,2,LatinHypercube
77,7000,0.01003504,0.000235057,42.69200854,2,LatinHypercube
78,8000,0.00999955,0.00019183,52.12722278,2,LatinHypercube
79,9000,0.010003123,0.000204571,48.89812546,2,LatinHypercube
80,10000,0.010017636,0.000172617,58.03402028,2,LatinHypercube
81,1000,0.100612862,0.13525426,0.743879431,1,ImportanceSampling
82,2000,0.100678232,0.135263781,0.74431035,1,ImportanceSampling
83,3000,0.100382787,0.135163235,0.74267819,1,ImportanceSampling
84,4000,0.100540632,0.135263713,0.74329345,1,ImportanceSampling
85,5000,0.100074375,0.134985531,0.741371127,1,ImportanceSampling
86,6000,0.100097305,0.134968815,0.741632836,1,ImportanceSampling
87,7000,0.100564306,0.135264388,0.743464757,1,ImportanceSampling
88,8000,0.10019974,0.135064158,0.741867728,1,ImportanceSampling
89,9000,0.09987784,0.134824855,0.740796941,1,ImportanceSampling
90,10000,0.099501225,0.134660455,0.738904565,1,ImportanceSampling
91,1000,0.009988807,0.026272198,0.380204478,2,ImportanceSampling
92,2000,0.010195393,0.026694636,0.381926673,2,ImportanceSampling
93,3000,0.009957735,0.026245194,0.379411757,2,ImportanceSampling
94,4000,0.010075155,0.026556616,0.379384011,2,ImportanceSampling
95,5000,0.009989793,0.026342264,0.37923061,2,ImportanceSampling
96,6000,0.010010938,0.026395625,0.379265068,2,ImportanceSampling
97,7000,0.010044576,0.026449498,0.379764344,2,ImportanceSampling
98,8000,0.010011081,0.026417604,0.37895492,2,ImportanceSampling
99,9000,0.009994043,0.026320616,0.379704016,2,ImportanceSampling
100,10000,0.010011238,0.02642075,0.378915739,2,ImportanceSampling
