state,abbr,capital_city,largest_city,population,area_sq_miles,land_area_sq_miles,house_seats,statehood_date
Alabama,AL,Montgomery,Birmingham,4833722,52420,50645,7,12/14/1819
Alaska,AK,Juneau,Anchorage,735132,665384,570641,1,1/3/1959
Arizona,AZ,Phoenix,Phoenix,6626624,113990,113594,9,2/14/1912
Arkansas,AR,Little Rock,Little Rock,2959373,53179,52035,4,6/15/1836
California,CA,Sacramento,Los Angeles,38332521,163695,155779,53,9/9/1850
Colorado,CO,Denver,Denver,5268367,104094,103642,7,8/1/1876
Connecticut,CT,Hartford,Bridgeport,3596080,5543,4842,5,1/9/1788
Delaware,DE,Dover,Wilmington,925749,2489,1949,1,12/7/1787
Florida,FL,Tallahassee,Jacksonville,19552860,65758,53625,27,3/3/1845
Georgia,GA,Atlanta,Atlanta,9992167,59425,57513,14,1/2/1788
Hawaii,HI,Honolulu,Honolulu,1404054,10932,6423,2,8/21/1959
Idaho,ID,Boise,Boise,1612136,83569,82643,2,7/3/1880
Illinois,IL,Springfield,Chicago,12882135,57914,55519,18,12/3/1818
Indiana,IN,Indianapolis,Indianapolis,6570902,36420,35826,9,12/11/1816
Iowa,IA,Des Moines,Des Moines,3090416,56273,55857,4,12/28/1846
Kansas,KS,Topeka,Wichita,2893957,82278,81759,4,1/29/1861
Kentucky,KY,Frankfort,Louisville,4395295,40408,39486,6,6/1/1792
Louisiana,LA,Baton Rouge,New Orleans,4625470,52378,43204,6,4/30/1812
Maine,ME,Augusta,Portland,1328302,35380,30843,2,3/15/1820
Maryland,MD,Annapolis,Baltimore,5928814,12406,9707,8,4/28/1788
Massachusetts,MA,Boston,Boston,6692824,10554,7800,9,2/6/1788
Michigan,MI,Lansing,Detroit,9895622,96714,56539,14,1/26/1837
Minnesota,MN,St. Paul,Minneapolis,5420380,86936,79627,8,5/11/1858
Mississippi,MS,Jackson,Jackson,2991207,48432,46923,4,12/10/1817
Missouri,MO,Jefferson City,Kansas City,6021988,69707,68742,8,8/10/1821
Montana,MT,Helena,Billings,1015165,147040,145546,1,11/8/1889
Nebraska,NE,Lincoln,Omaha,1868516,77348,76824,3,3/1/1867
Nevada,NV,Carson City,Las Vegas,2790136,110572,109781,4,10/31/1864
New Hampshire,NH,Concord,Manchester,1323459,9349,8953,2,6/21/1788
New Jersey,NJ,Trenton,Newark,8899339,8723,7354,12,12/18/1787
New Mexico,NM,Santa Fe,Albuquerque,2085287,121590,121298,3,1/6/1912
New York,NY,Albany,New York,19651127,54555,47126,27,7/26/1788
North Carolina,NC,Raleigh,Charlotte,9848060,53819,48618,13,11/21/1789
North Dakota,ND,Bismarck,Fargo,723393,70698,69001,1,11/2/1889
Ohio,OH,Columbus,Columbus,11570808,44826,40861,16,3/1/1803
Oklahoma,OK,Oklahoma City,Oklahoma City,3850568,69899,68595,5,11/16/1907
Oregon,OR,Salem,Portland,3930065,98379,95988,5,2/14/1859
Pennsylvania,PA,Harrisburg,Philadelphia,12773801,46054,44743,18,12/12/1787
Rhode Island,RI,Providence,Providence,1051511,1545,1034,2,5/29/1790
South Carolina,SC,Columbia,Columbia,4774839,32020,30061,7,5/23/1788
South Dakota,SD,Pierre,Sioux Falls,844877,77116,75811,1,11/2/1889
Tennessee,TN,Nashville,Memphis,6495978,42144,41235,9,6/1/1796
Texas,TX,Austin,Houston,26448193,268596,261232,36,12/29/1845
Utah,UT,Salt Lake City,Salt Lake City,2900872,84897,82170,4,1/4/1896
Vermont,VT,Montpelier,Burlington,626630,9616,9217,1,3/4/1791
Virginia,VA,Richmond,Virginia Beach,8260405,42775,39490,11,6/25/1788
Washington,WA,Olympia,Seattle,6971406,71298,66456,10,11/11/1889
West Virginia,WV,Charleston,Charleston,1854304,24230,24038,3,6/20/1863
Wisconsin,WI,Madison,Milwaukee,5742713,65496,54158,8,5/29/1848
Wyoming,WY,Cheyenne,Cheyenne,582658,97813,97093,1,7/10/1890
